doc,target
"Color : 420colors Nombre del producto : Herramienta de barniz para manicura esmalte de uñas esmalte de Gel UV La capacidad de : 15 ml/1 kg Colores : 420 colores en stock OEM/ODM : Personalizado etiquetas privadas Los certificados : SGS y MSDS Remojo : Esmalte de gel uv led de remojo Lámpara de curado : Lámpara uv, lámpara led, lámpara ccfl led Garantía : 2-3 años Las muestras : Muestras Gratis gel polaco Palabras clave : Esmalte de uñas",1
Regatta Boots UK11. Worn once. Like new.,0
"Hi Dear, It is nice to write to you. This is Alberto from Ecuador. I am interested in placing your Fixed Wireless Desktop Call Shop Payphone on the market. could you please send me the quotation from this with the details as below : Model Number, Type, frequency Band, Do you have any quality assurance certificates? im looking forward to hearing from you soon. thanks & Regardsalbertoneo7",1
"Lovely butterfly bush.

Collection from Bexhill",0
"Voyager childs' car booster seat

Universal Group 2 + 3

Suitable for 15kg to 36kg

Works with existing car seat belt",0
"In black travel case, mains charger, car cigarette lighter charger, spare battery, external aerial, user guide - used, yet in excellent condition",0
"Hi,Im interested in your product Metal Garden Chairs,, colorful stackable outdoor chair, I would like some more details.I look forward for your reply.Regards,Dania This Message is from mobile",1
Scarf 100% silk made in Nepal and bought in Kathmandu Approx 6 foot long and 6 inches wide with tassels at each end. Multi coloured knitted or crocheted strands of silk. Thought to be re-cycled silk. Very unusual.,0
"Dear Sir/Madam, This is princezheng from NG. Im looking for products with the following specifications : Type : Pet Apparel & Accessories, Wholesale New Style Top Quality Winter Pet Dog Clothes Item Type : Coats & Jackets Material : Polyester, Polyester Pattern : Animal Style : CLASSICS Season : Winter, Winter Dog Clothes Apparel & Accessory Type : Coats, Jackets & Outerwears Application : Dogs Feature : Eco-Friendly, Stocked Place of Origin : China (Mainland) Color : Dark Grey,Green,Khaki Size : S, M, L, XL,XXL Design : OEM/ODM Available Logo : Customized Ok Sample : Less $5 is free Weight : 220g",1
"I would like to inquire about ordering the 5 piece rose gold organizer sets.  What’s the order minimum? & how any info on shipping cost would be great. I’m located in New York, NY 10026.",1
Dea Sirs;  I am from Spain. Do you have the control I am enclosing you picture?  Best regards Javier Hernandez,1
"15 filing draw metal cabinet, in green, have seen this stripped down and sell for £240. my price £45.00 Nottingham 079731138...(click to reveal full phone number)",0
"Large black and white Sloth picture. Height 93cm, width 63cm.",0
"Taxidermy cased fish by j cooper WANTED........ New website 100s of pictures!! Visit WWW.JUSTSTUFFEDFISH.CO.UK MORE FISH JUST IN!!!!!!! ALL 100% ORIGINAL CASES!!!!! Taxidermy fish in bow cases or flat fronted cases damaged or pristine ....

£££TURN THAT OLD FISH INTO CASH£££ WWW.JUSTSTUFFEDFISH.CO.UK


CALL 078138244...(click to reveal full phone number)


""Staggering Prices Paid""",0
"Usage : Automotive Wheels Size : 32*47*18 Car Make : All types OE NO. : DAC32470018 Warranty : 2 Years Model : DAC32470018 Brand : CLUNT or OEM Vibration level : : V1, V2, V3 Noise level : : Z1, Z2, Z3 Size : : 32*47*18 Weight : : 0.083KG Material : : Chrome steel, stainless steel Seal Type : : Rubber seal, metal seal and open type Hardness : : 60-65",1
"Good overall condition

Collection only from East Preston",0
"SCALEXTRIC F1 4 SUPER TEAMS 4 – ADVANCED TRACK SYSTEM & 2 CARS Toyota TF102 & McLaren MP4-16 BOXED COMPLETE USER GUIDE.

In very good clean working condition. lovely track

Includes 2 cars in great condition . Toyota TF102 & McLaren MP4-16

2 hand controllers

Circuit 4 layout instructions and options

Scalextric Instructions for sets in Circuit 4

Just off St James Street.

Buyer Collects. Cash only.",0
"i am looking for bales baby diapers with following specifications : Surface layer : Quick-drying cloth ADL : No chip Size : XS,S,M,L,XL,XXL",1
"Hi,Im interested in your product Animal feed raw material Corn Gluten, I would like some more details.I look forward for your reply.Regards,Ehab SenussiThis Message is from mobile",1
"Hi,Im interested in your product 4L Portable mini fridge,cooler and warmer for car and home use, I would like some more details.I look forward for your reply.Regards,Ajay Chaubey",1
"NETGEAR RangeMax Model WNR834B
Wireless N Router with 12v PSU

WORKING until retired by VM SuperHub.

Great range & super fast.

VGC

Net Weight 750g

UK preferred payment by Bank Transfer.",0
"Red raincoat with hood (zip up and press studs) (age 8), very good condition.",0
interested in finding a vendor,1
"Vintage 1970s Doll by Palitoy 15"" tall, jointed with brown eyes, slight mark on face by mouth.",0
Vintage 1960's/1970's folding wooden backrest for the beach/garden etc. Solid wooden frame with blue & white striped plastic-style canvas. Folds flat for storage. Measures approx 59 x53cm flat. Excellent vintage condition Ideal addition to your vintage camper van. Classic mid century vintage beach ware. Non smoking household near Uckfield. Cash on collection only.,0
"WILSON STAFF PERSIMON WOODS GOLF CLUBS No.s 1, 3 & 5

Can be sild separately £5 each",0
Hello. What is the minimum amount one can purchase in a style?,1
"Hello, I need 35cm wide non woven shopping bags at CIF price Durban. Can you use customize logo or text for us. Please advice. Thank You",1
Width : 60,1
please quote the attached list Regards Joe,1
"Beautiful hand decorated toy box. Decoupaged with flower fairies on a pale purple base, painted pink inside.
Measuring: 48 cm high, the lid is 41 cm wide x 36 cm deep, inside the box is 32.5 cm wide x 30 cm
A few scuffs otherwise in excellent condition
From a smoke free home

£55 ONO",0
